,Unnamed: 0,author,category,date_published,description,dislikes,duration,keywords,length,likes,rating,subscribers,thumb,title,url,username,videoid,viewcount,subscriberCount
0,0,coolleo44,Sports,2010-04-30 23:52:56,"Biosite Football League... White Shadows 2010 Champs Baby, Baby!",0.0,00:09:03,"['biosite', 'flag', 'football', 'white', 'shadows']",543,0.0,0.0,301,http://i.ytimg.com/vi/8lH1_RdS6bs/default.jpg,Biosite Flag Football Super Bowl 2010 V2,https://www.youtube.com/watch?v=8lH1_RdS6bs,coolleo44,8lH1_RdS6bs,150,2
1,1,KILLAKALIBUD,Sports,2008-10-23 01:21:22,My son Playing his 2nd year at flag but first his first year at Quarterback.,0.0,00:00:24,"['football', 'superstar', 'east orange', 'pop warner']",24,6.0,5.0,301,http://i.ytimg.com/vi/lKlubMPs1MY/default.jpg,"East Orange Rams Flag football ""boobie doo""",https://www.youtube.com/watch?v=lKlubMPs1MY,KILLAKALIBUD,lKlubMPs1MY,3745,33
2,2,Ivan Perez,People & Blogs,2013-04-09 16:41:21,Asi se ve cuando se graba con lentes con camara dentro de un partido de tochito por uno de los jugadores.,0.0,00:00:52,"['tochito Chihuahua', 'Morgans', 'lentes con camara de video', 'grabando dentro del campo', 'flag football', 'jugando tochito']",52,1.0,5.0,301,http://i.ytimg.com/vi/QgWIx-BHvrY/default.jpg,Jugada de Cross Pase tochito Morgan vs Chotes.,https://www.youtube.com/watch?v=QgWIx-BHvrY,iperez72,QgWIx-BHvrY,262,2
3,3,akvegas2007,Sports,2007-11-15 12:33:04,"Flag Football game WYNN vs. BBWC in Las Vegas, NV. QB runs and gets a nice block.  Defender shakes it off. It's flackle, a hybrid game of football that's not flag, but it's not tackle.",1.0,00:00:26,"['Football', 'Flag', 'Las', 'Vegas', 'WYNN', 'BBWC', 'Block', 'Hit', 'Big', 'Nice', 'Game', 'QB', 'plays', 'play', 'run']",26,3.0,4.0,301,http://i.ytimg.com/vi/lDCQbpP2FlQ/default.jpg,Flag Football Block - Hit Las Vegas 2007,https://www.youtube.com/watch?v=lDCQbpP2FlQ,akvegas2007,lDCQbpP2FlQ,5148,5
4,4,LJ Fam,Sports,2013-05-20 07:40:33,"Jaxson is 8 years old, this was his first season of Flag Football. Here you see some of 'The Crushers' Playoff game. He's really enjoyed learning the game and has become quite good at defense! He loves to count the number of flags he yanks off the other team! We get a kick out of it. Anything he sets his mind too, he excells at. Keep it up Jaxson, we Love You!!!",0.0,00:06:55,"['flag', 'football', 'peewee', 'pee', 'wee', 'American Football (Sport)', 'little', 'jr', 'teams', 'play', 'off', 'tx', 'texas', 'sport', 'Football (ball)', 'sports', 'fun', 'ball', 'kid', 'kids']",415,1.0,5.0,301,http://i.ytimg.com/vi/ERL7gvEDqfw/default.jpg,Jaxson's Flag Football Highlights,https://www.youtube.com/watch?v=ERL7gvEDqfw,UCF2uRHJOL5vw7pL8jrQOSMA,ERL7gvEDqfw,34,5
5,5,TVChurrascoG,Sports,2008-11-17 23:29:04,Interceptação do Silver Bullets abriu caminho para o segundo TD da equipe no jogo.,0.0,00:00:56,"['futebol', 'americano', 'lpfa', 'silver', 'bullets', 'spartans']",56,0.0,0.0,301,http://i.ytimg.com/vi/DFV7aVZEiL8/default.jpg,Final da Liga Flag 2008,https://www.youtube.com/watch?v=DFV7aVZEiL8,TVChurrascoG,DFV7aVZEiL8,712,22
6,6,Jayme & Rox,People & Blogs,2013-06-02 21:09:20,"NFL Flag Football San Diego 6-8 Division

Highlight music from ESPN's NFL Primetime. If you are interested in getting the original song files, please visit the link below:
https://sites.google.com/site/markpolinsky/nfl-primetime-music",0.0,00:10:21,"['American Football (Sport)', 'Highlights', 'Sports', 'Flag Football', 'NFL Flag Football', 'Chargers']",621,10.0,5.0,301,http://i.ytimg.com/vi/El5KH0RTFs0/default.jpg,NFL Flag Football Week 4  Chargers v Cowboys,https://www.youtube.com/watch?v=El5KH0RTFs0,itsjaymerox,El5KH0RTFs0,2695,1852
7,7,dayzdays,Sports,2007-11-26 15:37:03,"Family flag football, Thanksgiving 2007.",0.0,00:00:06,"['Family', 'Football', 'Thanksgiving']",6,0.0,0.0,301,http://i.ytimg.com/vi/NwY6tw-Ekfk/default.jpg,Incomplete pass!,https://www.youtube.com/watch?v=NwY6tw-Ekfk,dayzdays,NwY6tw-Ekfk,19,7
8,8,CLAfootballSquad,Sports,2012-09-24 01:10:52,Cla flag football,0.0,00:09:49,"['Cla', 'Football', 'Flag']",589,0.0,0.0,301,http://i.ytimg.com/vi/zUgsiRje15Q/default.jpg,Cla football game 1 part 5,https://www.youtube.com/watch?v=zUgsiRje15Q,CLAfootballSquad,zUgsiRje15Q,36,2
9,9,OneGoalSports,Sports,2013-05-21 03:55:21,Flag Football (Part 1-Why Are You Coaching),0.0,00:09:56,"['One', 'Goal', 'Sports', 'football', 'flag']",596,0.0,0.0,301,http://i.ytimg.com/vi/C6giyFpEYm4/default.jpg,Flag Football (Part 1-Why Are You Coaching),https://www.youtube.com/watch?v=C6giyFpEYm4,OneGoalSports,C6giyFpEYm4,29,32
